PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,BioBERT_Conf,PubMedBERT_Relation,PubMedBERT_Conf,BioLinkBERT_Relation,BioLinkBERT_Conf,All_Agree,Avg_Confidence,Ensemble_Result,Ensemble_Conf,Decision_Method
11263769,Interleukin-18,IL-18BP,"Interleukin-18 (IL-18) is a proinflammatory cytokine that is involved in immunologically mediated tissue damage, but its bioactivity is regulated in vivo by its soluble decoy receptor, IL-18 binding protein (IL-18BP).",Association,0.9028261303901672,Association,0.8193931579589844,NO_RELATION,0.9928994178771972,False,0.9050395687421163,Association,0.9028261303901672,Accepted_By_Ensemble
11264152,Eotaxin,CC chemokine receptor 3,"Eotaxin is a potent inducer of eosinophil chemotaxis and was considered as a selective ligand of the CC chemokine receptor 3 (CCR3), which is expressed on eosinophils, basophils, and Th2 lymphocytes.",Association,0.8888412117958069,Association,0.8426012992858887,NO_RELATION,0.9585094451904296,False,0.8966506520907084,Association,0.8888412117958069,Accepted_By_Ensemble
11264152,Eotaxin,CCR3,"Eotaxin is a potent inducer of eosinophil chemotaxis and was considered as a selective ligand of the CC chemokine receptor 3 (CCR3), which is expressed on eosinophils, basophils, and Th2 lymphocytes.",Association,0.8900637626647949,Association,0.8228685259819031,NO_RELATION,0.9769624471664428,False,0.8966315786043803,Association,0.8900637626647949,Accepted_By_Ensemble
11264613,Interleukin-4,cytokine,Interleukin-4 (IL-4) is a cytokine with both stimulatory and inhibitory effects on the inflammatory system such as macrophage inhibition and T-cell activation.,Association,0.7548454403877258,Association,0.772372305393219,NO_RELATION,0.9717707633972168,False,0.8329961697260538,,,Escalate_Single_Model
11264658,Stromal cell-derived factor 1,alpha-chemokine,Stromal cell-derived factor 1 (SDF-1) is an alpha-chemokine that stimulates migration of haematopoietic progenitor cells and development of the immune system.,Association,0.867651641368866,Association,0.8434690237045288,NO_RELATION,0.9786196351051332,False,0.8965801000595093,Association,0.867651641368866,Accepted_By_Ensemble
11268388,Interleukin-6,T-cell activating cytokine,"Interleukin-6 (IL-6) is a B-cell differentiating and T-cell activating cytokine that is expressed in T cells, neutrophils, monocytes, macrophages, and mast cells.",Association,0.8263770341873169,Positive_regulation,0.345003992319107,NO_RELATION,0.9894394278526306,False,0.7202734847863516,,,Escalate_No_Majority
11268391,Interleukin-6,tumor necrosis factor alpha,"Interleukin-6 (IL-6) and tumor necrosis factor alpha (TNF alpha) and their mRNAs are present in the human, rat, and bovine adrenal cortex.",Association,0.8998470306396484,Association,0.5745850801467896,NO_RELATION,0.977698028087616,False,0.817376712958018,,,Escalate_No_Majority
11268391,Interleukin-6,TNF alpha,"Interleukin-6 (IL-6) and tumor necrosis factor alpha (TNF alpha) and their mRNAs are present in the human, rat, and bovine adrenal cortex.",Association,0.8949045538902283,Association,0.4708512127399444,NO_RELATION,0.9915816187858582,False,0.7857791284720103,,,Escalate_No_Majority
11269278,Interleukin-10,cytokine,"Interleukin-10 (IL-10) cytokine production was assessed using peripheral blood mononuclear cells (PBMC) from 67 individuals living in an area endemic for schistosomiasis japonica in China (Dongting Lake, Hunan Province), and 11 control subjects from a non-endemic part of the same Province.",Association,0.8905302286148071,Association,0.8169711828231812,NO_RELATION,0.9515273571014404,False,0.8863429228464762,Association,0.8905302286148071,Accepted_By_Ensemble
11269653,Interleukin-8,chemoattractant cytokine,Interleukin-8 (IL-8) is considered as the major polymorphonuclear neutrophils (PMNs) chemoattractant cytokine in lung diseases such as asthma and adult respiratory distress syndrome (ARDS).,Association,0.8555923104286194,Association,0.8211406469345093,NO_RELATION,0.4848268628120422,False,0.7205199400583903,Association,0.8555923104286194,Accepted_By_Ensemble
11275690,Interleukin-6,multifunctional cytokine,"Interleukin-6 (IL-6) is a multifunctional cytokine that mediates cell growth, differentiation, and survival.",Association,0.8952356576919556,Association,0.8145554661750793,NO_RELATION,0.9869608879089355,False,0.8989173372586569,Association,0.8952356576919556,Accepted_By_Ensemble
11278608,Interleukin-1 beta,IL-1beta,Interleukin-1 beta (IL-1beta) regulates the levels of cystic fibrosis transmembrane conductance regulator (CFTR) mRNA and protein in the T84 human carcinoma cell line.,Association,0.9015774130821228,Association,0.8019424676895142,NO_RELATION,0.9831289649009703,False,0.8955496152242025,Association,0.9015774130821228,Accepted_By_Ensemble
11278608,Interleukin-1 beta,cystic fibrosis transmembrane conductance regulator (CFTR) mRNA,Interleukin-1 beta (IL-1beta) regulates the levels of cystic fibrosis transmembrane conductance regulator (CFTR) mRNA and protein in the T84 human carcinoma cell line.,Association,0.8923648595809937,Association,0.7805149555206299,NO_RELATION,0.956254541873932,False,0.8763781189918518,,,Escalate_No_Majority
11278629,Interleukin-13,Th2-derived cytokine,"Interleukin-13 (IL-13), a predominantly Th2-derived cytokine, appears to play a central pathological role in asthma, atopic dermatitis, allergic rhinitis, some parasitic infections, and cancer.",Association,0.8830393552780151,Association,0.8835402727127075,NO_RELATION,0.6028991341590881,False,0.7898262540499369,Association,0.8835402727127075,Accepted_By_Ensemble
11278848,Interleukin-10,pleiotropic cytokine,"Interleukin-10 (IL-10), a pleiotropic cytokine that inhibits inflammatory and cell-mediated immune responses, is produced by a wide variety of cell types including T and B cells and monocytes/macrophages.",Association,0.7786305546760559,NO_RELATION,0.544114351272583,NO_RELATION,0.9656434059143066,False,0.7627961039543152,,,Escalate_Single_Model
11282553,Tumor necrosis factor,pleiotropic cytokine,Tumor necrosis factor (TNF) is a pleiotropic cytokine with immunological and neuroendocrine activities.,Association,0.8815174102783203,Association,0.8363817930221558,NO_RELATION,0.987966239452362,False,0.9019551475842794,Association,0.8815174102783203,Accepted_By_Ensemble
11282561,Interleukin-4,anti-inflammatory cytokine,"Interleukin-4 (IL-4), which has been widely described as an anti-inflammatory cytokine, can also exert proinflammatory effects.",Association,0.7767088413238525,Association,0.7926657199859619,NO_RELATION,0.9799048900604248,False,0.8497598171234131,,,Escalate_Single_Model
11282564,Interleukin-10,anti-inflammatory Th1 immunosuppressive cytokine,"Interleukin-10 is an anti-inflammatory Th1 immunosuppressive cytokine, the active form of which is a non-covalent homodimer, and which exhibits species-specificity both with respect to structure and biological activity.",Association,0.8752349615097046,NO_RELATION,0.4808941483497619,NO_RELATION,0.9100213646888732,False,0.7553834915161133,,,Escalate_No_Majority
11282775,Interleukin-6,acute-phase,Interleukin-6 (IL-6) is an important mediator of both the hepatic and the bone marrow components of the acute-phase response.,Association,0.8725841045379639,Association,0.8485972881317139,NO_RELATION,0.9179151654243468,False,0.8796988526980082,Association,0.8725841045379639,Accepted_By_Ensemble
11290805,Eotaxin,IgG immune complexes,"Eotaxin, which is a major mediator for eosinophil recruitment into lung, has regulatory effects on neutrophil-dependent acute inflammatory injury triggered by intrapulmonary deposition of IgG immune complexes in rats.",Association,0.8137350082397461,Association,0.6653249859809875,Negative_regulation,0.2872503995895386,False,0.5887701312700907,,,Escalate_Single_Model
11294292,Hepatocyte growth factor,cytokine,"Hepatocyte growth factor (HGF), originally identified as the most potent mitogen for hepatocytes, is now known to be a cytokine with numerous functions in a wide variety of cells.",Association,0.7936131358146667,NO_RELATION,0.7114397287368774,NO_RELATION,0.9861329793930054,False,0.8303952813148499,,,Escalate_Single_Model
11294568,Interleukin-4,cytokine,Interleukin-4 (IL-4) is an important cytokine in mucosal immunity and plays a critical role in the development of colitis in T-alpha cell receptor mutant mice.,Association,0.8548938035964966,Association,0.8441103100776672,NO_RELATION,0.9852545261383056,False,0.8947528799374899,Association,0.8548938035964966,Accepted_By_Ensemble
11294568,Interleukin-4,T-alpha cell receptor mutant,Interleukin-4 (IL-4) is an important cytokine in mucosal immunity and plays a critical role in the development of colitis in T-alpha cell receptor mutant mice.,Association,0.8127884268760681,Association,0.8429508209228516,NO_RELATION,0.982731282711029,False,0.8794901768366495,Association,0.8429508209228516,Accepted_By_Ensemble
11297270,Hepatocyte growth factor,cytokine,"Hepatocyte growth factor (HGF)/scatter factor (SF) is a cytokine exerting a wide range of biological functions on many cell types, including vascular endothelial cells.",Association,0.8932738900184631,NO_RELATION,0.4403827488422394,NO_RELATION,0.9958022236824036,False,0.7764862875143687,,,Escalate_No_Majority
11297526,Eotaxin,CC chemokine,Eotaxin is a CC chemokine that specifically activates the receptor CCR3 causing accumulation of eosinophils in allergic diseases and parasitic infections.,Association,0.792142927646637,Association,0.8211223483085632,NO_RELATION,0.9250586032867432,False,0.8461079597473145,,,Escalate_No_Majority
11297526,Eotaxin,receptor CCR3,Eotaxin is a CC chemokine that specifically activates the receptor CCR3 causing accumulation of eosinophils in allergic diseases and parasitic infections.,Association,0.7586638927459717,Association,0.792197048664093,NO_RELATION,0.8040259480476379,False,0.7849622964859009,,,Escalate_Single_Model
11298325,Interleukin-18,proinflammatory cytokine,"Interleukin-18 (IL-18), a proinflammatory cytokine, leads to IFN-gamma production by NK or T cells, induces Th1 differentiation and suppresses IgE synthesis by B cells when acting on responding cells together with IL-12.",Association,0.8219952583312988,Association,0.800141453742981,NO_RELATION,0.9746922850608826,False,0.8656096657117208,Association,0.8219952583312988,Accepted_By_Ensemble
11298325,Interleukin-18,IFN-gamma,"Interleukin-18 (IL-18), a proinflammatory cytokine, leads to IFN-gamma production by NK or T cells, induces Th1 differentiation and suppresses IgE synthesis by B cells when acting on responding cells together with IL-12.",Association,0.751693844795227,Association,0.7872152328491211,NO_RELATION,0.969148814678192,False,0.8360192974408468,,,Escalate_Single_Model
11298325,Interleukin-18,IgE,"Interleukin-18 (IL-18), a proinflammatory cytokine, leads to IFN-gamma production by NK or T cells, induces Th1 differentiation and suppresses IgE synthesis by B cells when acting on responding cells together with IL-12.",Association,0.754896879196167,Association,0.5456099510192871,NO_RELATION,0.8709406852722168,False,0.7238158384958903,,,Escalate_Single_Model
11298325,Interleukin-18,IL-12,"Interleukin-18 (IL-18), a proinflammatory cytokine, leads to IFN-gamma production by NK or T cells, induces Th1 differentiation and suppresses IgE synthesis by B cells when acting on responding cells together with IL-12.",Association,0.8014225363731384,Association,0.4226636886596679,NO_RELATION,0.9894614815711976,False,0.737849235534668,,,Escalate_No_Majority
11301286,Tumor necrosis factor,enzyme,"Tumor necrosis factor (TNF)-converting enzyme (TACE) and other ADAM proteases (those that contain a disintegrin and a metalloprotease domain) have emerged as potential therapeutic targets in the areas of arthritis, cancer, diabetes and HIV cachexia.",Association,0.9094001650810242,Association,0.8769397139549255,NO_RELATION,0.9283775687217712,False,0.9049058159192404,Association,0.9094001650810242,Accepted_By_Ensemble
11301286,Tumor necrosis factor,ADAM proteases,"Tumor necrosis factor (TNF)-converting enzyme (TACE) and other ADAM proteases (those that contain a disintegrin and a metalloprotease domain) have emerged as potential therapeutic targets in the areas of arthritis, cancer, diabetes and HIV cachexia.",Association,0.9120312333106996,Association,0.8740527033805847,NO_RELATION,0.9426783323287964,False,0.9095874230066935,Association,0.9120312333106996,Accepted_By_Ensemble
11301286,Tumor necrosis factor,metalloprotease domain,"Tumor necrosis factor (TNF)-converting enzyme (TACE) and other ADAM proteases (those that contain a disintegrin and a metalloprotease domain) have emerged as potential therapeutic targets in the areas of arthritis, cancer, diabetes and HIV cachexia.",Association,0.9141424298286438,Association,0.8765522837638855,NO_RELATION,0.880248486995697,False,0.8903144001960754,Association,0.9141424298286438,Accepted_By_Ensemble
11301858,Eotaxin,eosinophil-specific chemokine,Eotaxin is an eosinophil-specific chemokine associated with the recruitment of eosinophils to sites of allergic inflammation.,Association,0.873866856098175,Association,0.8543322682380676,NO_RELATION,0.8001703023910522,False,0.8427898089090983,Association,0.873866856098175,Accepted_By_Ensemble
11303750,Interleukin-6,neurotrophic cytokine,"Interleukin-6 (IL-6) is a neurotrophic cytokine, however, its direct effect on nerve regeneration has not been well characterized.",Association,0.8800197839736938,NO_RELATION,0.4014446437358856,NO_RELATION,0.9565024971961976,False,0.7459889749685923,,,Escalate_No_Majority
11313947,Interleukin-6,pleiotropic cytokine,Interleukin-6 (IL-6) is a pleiotropic cytokine that is capable of modulating the diverse functions of cells such as acute phase responses and inflammation.,Association,0.8725550174713135,Association,0.7845404744148254,NO_RELATION,0.986155092716217,False,0.8810835282007853,,,Escalate_No_Majority
11314001,Interleukin-6,pleitrophic cytokine,"Interleukin-6 (IL-6) is a pleitrophic cytokine that not only regulates growth and differentiation of many cell types, but also induces production of acute phase proteins (AAP) in hepatocytes.",Association,0.8183715343475342,Association,0.7682328224182129,NO_RELATION,0.9817101359367372,False,0.856104830900828,,,Escalate_No_Majority
11319155,Interferon gamma,IFNgamma,Interferon gamma (IFNgamma) has been implicated as a mediator of luteal steroidogenesis and cell fate.,Association,0.8790019154548645,Association,0.8707470297813416,NO_RELATION,0.9941717982292176,False,0.9146402478218079,Association,0.8790019154548645,Accepted_By_Ensemble
11321363,Interleukin-8,C5a,"Interleukin-8 (IL-8), C5a and N-formyl-methionyl-leucyl-phenylalanine (fMLP) are chemotactic peptides with predominant effects on leukocytes during inflammation.",Association,0.8779669404029846,Association,0.8363070487976074,NO_RELATION,0.9928176403045654,False,0.9023638765017191,Association,0.8779669404029846,Accepted_By_Ensemble
11322949,Tumor necrosis factor,TNFalpha,Tumor necrosis factor alpha (TNFalpha) induces apoptosis of a variety of tumor cell types.,Association,0.7837144732475281,Association,0.6597391963005066,NO_RELATION,0.9887514710426332,False,0.8107350468635559,,,Escalate_Single_Model
11330688,Tumor necrosis factor,serum enzyme,"Tumor necrosis factor (TNF)-alpha-induced hepatitis and apoptosis, as respectively assessed by serum enzyme activities and hepatic DNA fragmentation were effectively suppressed by a single force-feeding of caffeine (100 mg/kg) 1.5 h before injecting the drug.",Positive_regulation,0.5235973000526428,Positive_regulation,0.4332175552845001,Association,0.4334493577480316,False,0.46342140436172485,,,Escalate_No_Confident_Model
11331040,Interleukin-18,interferon-gamma (IFN-gamma)-inducing factor,"Interleukin-18 (IL-18), previously known as interferon-gamma (IFN-gamma)-inducing factor (IGIF), is a proinflammatory cytokine expressed by activated macrophages that acts in synergy with IL-12 as an important amplifying factor for IFN-gamma production and Th1 development.",Association,0.821461021900177,Positive_regulation,0.3684895634651184,NO_RELATION,0.9948713779449464,False,0.7282739877700806,,,Escalate_No_Majority
11331040,Interleukin-18,proinflammatory cytokine,"Interleukin-18 (IL-18), previously known as interferon-gamma (IFN-gamma)-inducing factor (IGIF), is a proinflammatory cytokine expressed by activated macrophages that acts in synergy with IL-12 as an important amplifying factor for IFN-gamma production and Th1 development.",Association,0.8284540772438049,Positive_regulation,0.3793084025382995,NO_RELATION,0.9897224307060242,False,0.7324949701627096,,,Escalate_No_Majority
11331040,Interleukin-18,IL-12,"Interleukin-18 (IL-18), previously known as interferon-gamma (IFN-gamma)-inducing factor (IGIF), is a proinflammatory cytokine expressed by activated macrophages that acts in synergy with IL-12 as an important amplifying factor for IFN-gamma production and Th1 development.",Association,0.8033458590507507,Positive_regulation,0.3885199427604675,NO_RELATION,0.9888219833374025,False,0.7268959283828735,,,Escalate_No_Majority
11331040,Interleukin-18,IFN-gamma,"Interleukin-18 (IL-18), previously known as interferon-gamma (IFN-gamma)-inducing factor (IGIF), is a proinflammatory cytokine expressed by activated macrophages that acts in synergy with IL-12 as an important amplifying factor for IFN-gamma production and Th1 development.",Association,0.7775937914848328,Positive_regulation,0.3851739764213562,NO_RELATION,0.9936224818229676,False,0.7187967499097189,,,Escalate_Single_Model
11333132,Hepatocyte growth factor,fibroblast-derived protein,"Hepatocyte growth factor (HGF), a fibroblast-derived protein that affects the growth, motility and differentiation of epithelial cells, is a mitogen for human melanocytes and has recently been implicated as an important factor for the development and dissemination of melanomas.",Association,0.8066549301147461,Association,0.351229578256607,NO_RELATION,0.9589759707450868,False,0.70562015970548,,,Escalate_No_Majority
11333132,Hepatocyte growth factor,mitogen,"Hepatocyte growth factor (HGF), a fibroblast-derived protein that affects the growth, motility and differentiation of epithelial cells, is a mitogen for human melanocytes and has recently been implicated as an important factor for the development and dissemination of melanomas.",Association,0.8076860308647156,Association,0.5812178254127502,NO_RELATION,0.9162322878837584,False,0.7683787147204081,,,Escalate_No_Majority
11334412,Tumor necrosis factor,insulin,"Tumor necrosis factor (TNF)-alpha is one of the candidate mediators of insulin resistance associated with obesity, a major risk factor for the development of type 2 diabetes.",Association,0.8433330059051514,Association,0.8299897313117981,Association,0.7364120483398438,True,0.803244928518931,Association,0.8433330059051514,Accepted_By_Ensemble
11341465,Interleukin-6,hepatic metallothionein,Interleukin-6 (IL-6) has been thought to play a key role in the induction of hepatic metallothionein (MT) synthesis in tumor-bearing animals.,Association,0.8292689919471741,Association,0.6095744967460632,NO_RELATION,0.8306925296783447,False,0.7565120061238607,,,Escalate_No_Majority
11343210,Tumor necrosis factor,interleukin (IL)-1beta,"Tumor necrosis factor (TNF)-alpha, interleukin (IL)-1beta, and nitric oxide (NO) may play a role in lipopolysaccharide (LPS)-induced cardiac depression.",Association,0.8450381755828857,Association,0.8401615619659424,Positive_regulation,0.59675532579422,False,0.760651687781016,Association,0.8450381755828857,Accepted_By_Ensemble
11348460,Interleukin-10,immunosuppressive cytokine,"Interleukin-10 is an important anti-inflammatory and immunosuppressive cytokine with major impact on several immune reactions, including regulatory mechanisms in the skin.",Association,0.7981507778167725,Association,0.8256933093070984,Association,0.3808954060077667,True,0.6682464977105459,,,Escalate_Single_Model
11350798,Interleukin-10,pleiotropic cytokine,Interleukin-10 (IL-10) is a pleiotropic cytokine that controls inflammatory processes by suppressing the production of proinflammatory cytokines that are known to be transcriptionally regulated by nuclear factor-kappaB (NF-kappaB).,Association,0.7394005060195923,Association,0.7808924913406372,NO_RELATION,0.9431476593017578,False,0.8211468855539957,,,Escalate_Single_Model
11350798,Interleukin-10,proinflammatory cytokines,Interleukin-10 (IL-10) is a pleiotropic cytokine that controls inflammatory processes by suppressing the production of proinflammatory cytokines that are known to be transcriptionally regulated by nuclear factor-kappaB (NF-kappaB).,Association,0.7015732526779175,Association,0.8323234915733337,NO_RELATION,0.9387036561965942,False,0.8242001334826151,,,Escalate_No_Majority
11350798,Interleukin-10,nuclear factor-kappaB,Interleukin-10 (IL-10) is a pleiotropic cytokine that controls inflammatory processes by suppressing the production of proinflammatory cytokines that are known to be transcriptionally regulated by nuclear factor-kappaB (NF-kappaB).,Association,0.7449596524238586,Association,0.8212285041809082,NO_RELATION,0.9838579297065736,False,0.8500153621037801,,,Escalate_No_Majority
11350798,Interleukin-10,NF-kappaB,Interleukin-10 (IL-10) is a pleiotropic cytokine that controls inflammatory processes by suppressing the production of proinflammatory cytokines that are known to be transcriptionally regulated by nuclear factor-kappaB (NF-kappaB).,Association,0.7749463319778442,Association,0.786348283290863,NO_RELATION,0.9930441975593568,False,0.851446270942688,,,Escalate_Single_Model
11352498,Interleukin-6,cytokines,Interleukin-6 (IL-6) belongs to a family of cytokines that use receptors consisting of a common signal-transducing chain (gp130).,Association,0.9115697741508484,NO_RELATION,0.3913061320781708,NO_RELATION,0.9919073581695556,False,0.7649277547995249,,,Escalate_No_Majority
11352498,Interleukin-6,common signal-transducing chain,Interleukin-6 (IL-6) belongs to a family of cytokines that use receptors consisting of a common signal-transducing chain (gp130).,Association,0.9000596404075623,Association,0.505478024482727,NO_RELATION,0.9930554032325744,False,0.7995310227076212,,,Escalate_No_Majority
11352498,Interleukin-6,gp130,Interleukin-6 (IL-6) belongs to a family of cytokines that use receptors consisting of a common signal-transducing chain (gp130).,Association,0.894091784954071,NO_RELATION,0.338528960943222,NO_RELATION,0.994964361190796,False,0.742528369029363,,,Escalate_No_Majority
11354274,Interleukin-10,immunoregulatory cytokine,Interleukin-10 (IL-10) is a potent anti-inflammatory and immunoregulatory cytokine.,Association,0.7528702616691589,Association,0.8538023233413696,NO_RELATION,0.98507559299469,False,0.8639160593350729,,,Escalate_No_Majority
11362396,Tumor necrosis factor,cytokine,"Tumor necrosis factor (TNF, cachectin), a cytokine secreted by macrophages and T-cells, mediates inflammatory and immune responses, and is associated with wasting in persons with malignancies or AIDS.",Association,0.8113142251968384,Association,0.4785403311252594,NO_RELATION,0.5235825777053833,False,0.604479044675827,,,Escalate_Single_Model
11362400,Interleukin-2,cytokine,"Interleukin-2 (IL-2) is a cytokine that induces the proliferation and cytotoxic activation of CD8+ antigen-specific T cells and natural killer (NK) cells, stimulating the clearance of viral-infected and tumor cells.",Association,0.7951391935348511,Association,0.5399866104125977,NO_RELATION,0.9820097088813782,False,0.7723785042762756,,,Escalate_Single_Model
11367520,Interleukin-10,TH1 cytokines,Interleukin-10 is a potent suppressive factor that down-regulates cellular immune response via inhibition of the production of TH1 cytokines.,Negative_regulation,0.5819739103317261,Association,0.701649010181427,Positive_regulation,0.3476268947124481,False,0.5437499384085337,,,Escalate_No_Confident_Model
11368440,Interleukin-2,growth factor,Interleukin-2 (IL-2) is a growth factor which upon binding to high-affinity receptors (IL-2Ralphabetagamma) triggers mitogenesis in T cells.,Association,0.8836649060249329,Positive_regulation,0.3666482865810394,NO_RELATION,0.9902864098548888,False,0.7468665341536204,,,Escalate_No_Majority
11368440,Interleukin-2,high-affinity receptors,Interleukin-2 (IL-2) is a growth factor which upon binding to high-affinity receptors (IL-2Ralphabetagamma) triggers mitogenesis in T cells.,Association,0.8822381496429443,Positive_regulation,0.3522044122219085,NO_RELATION,0.991907238960266,False,0.7421166002750397,,,Escalate_No_Majority
11368440,Interleukin-2,IL-2Ralphabetagamma,Interleukin-2 (IL-2) is a growth factor which upon binding to high-affinity receptors (IL-2Ralphabetagamma) triggers mitogenesis in T cells.,Association,0.8855112791061401,Positive_regulation,0.3701925575733185,NO_RELATION,0.993325173854828,False,0.7496763368447622,,,Escalate_No_Majority
11375054,Stromal cell-derived factor 1,chemokine,Stromal cell-derived factor 1 (SDF-1) is a unique chemokine involved in multiple organogenesis as well as in the regulation of HIV infection.,Association,0.907447099685669,Association,0.8377670049667358,NO_RELATION,0.9669206142425536,False,0.9040449062983195,Association,0.907447099685669,Accepted_By_Ensemble
11379350,Hepatocyte growth factor,hepatrophic factor,"Hepatocyte growth factor, a potent mitogen for hepatocytes has been reported to be a hepatrophic factor in normal livers.",Association,0.7319900989532471,Association,0.747329592704773,NO_RELATION,0.7851144075393677,False,0.7548113663991293,,,Escalate_No_Confident_Model
11380804,Hepatocyte growth factor,c-Met receptor tyrosine kinase,"Hepatocyte growth factor (HGF), a ligand for the c-Met receptor tyrosine kinase, has mitogenic, motogenic, anti-apoptotic, and morphogenic (for example, induction of branching tubulogenesis) activities for renal tubular cells, while it has angiogenic and angioprotective actions for endothelial cells.",Association,0.8560661673545837,Association,0.7631422877311707,NO_RELATION,0.954558789730072,False,0.8579224149386088,,,Escalate_No_Majority
11381677,Tumor necrosis factor,TNFR1,"Tumor necrosis factor receptor type 1 (TNFR1) and c-Myc are important in signal transduction in tumor necrosis factor-alpha (TNF-alpha)-induced cytotoxicity, whereas activation of nuclear factor-kappa B (NF-kappa B) protects against TNF-alpha-induced apoptosis.",Association,0.8873060941696167,Association,0.8692421317100525,NO_RELATION,0.9926996827125548,False,0.9164159695307413,Association,0.8873060941696167,Accepted_By_Ensemble
11381677,Tumor necrosis factor,c-Myc,"Tumor necrosis factor receptor type 1 (TNFR1) and c-Myc are important in signal transduction in tumor necrosis factor-alpha (TNF-alpha)-induced cytotoxicity, whereas activation of nuclear factor-kappa B (NF-kappa B) protects against TNF-alpha-induced apoptosis.",Association,0.8651788234710693,Association,0.8712593913078308,NO_RELATION,0.9769243597984314,False,0.9044541915257772,Association,0.8712593913078308,Accepted_By_Ensemble
11381677,Tumor necrosis factor,tumor necrosis factor-alpha,"Tumor necrosis factor receptor type 1 (TNFR1) and c-Myc are important in signal transduction in tumor necrosis factor-alpha (TNF-alpha)-induced cytotoxicity, whereas activation of nuclear factor-kappa B (NF-kappa B) protects against TNF-alpha-induced apoptosis.",Association,0.7079445719718933,Association,0.813792884349823,NO_RELATION,0.9760530591011048,False,0.8325968384742737,,,Escalate_No_Majority
11381677,Tumor necrosis factor,nuclear factor-kappa B,"Tumor necrosis factor receptor type 1 (TNFR1) and c-Myc are important in signal transduction in tumor necrosis factor-alpha (TNF-alpha)-induced cytotoxicity, whereas activation of nuclear factor-kappa B (NF-kappa B) protects against TNF-alpha-induced apoptosis.",Association,0.8574544191360474,Association,0.8355071544647217,NO_RELATION,0.973706841468811,False,0.88888947168986,Association,0.8574544191360474,Accepted_By_Ensemble
11381677,Tumor necrosis factor,NF-kappa B,"Tumor necrosis factor receptor type 1 (TNFR1) and c-Myc are important in signal transduction in tumor necrosis factor-alpha (TNF-alpha)-induced cytotoxicity, whereas activation of nuclear factor-kappa B (NF-kappa B) protects against TNF-alpha-induced apoptosis.",Association,0.852916419506073,Association,0.7929080724716187,NO_RELATION,0.992327868938446,False,0.8793841203053793,,,Escalate_No_Majority
11385609,Interleukin-2,natural cytotoxicity receptors,Interleukin-2 (IL-2)-activated polyclonal or clonal NK cells lysed autologous antigen presenting cells (APC) through the engagement of the natural cytotoxicity receptors (NCR) NKp30 and NKp46.,Association,0.9073621034622192,Association,0.706020712852478,NO_RELATION,0.9842360019683838,False,0.8658729394276937,,,Escalate_No_Majority
11385609,Interleukin-2,NKp30,Interleukin-2 (IL-2)-activated polyclonal or clonal NK cells lysed autologous antigen presenting cells (APC) through the engagement of the natural cytotoxicity receptors (NCR) NKp30 and NKp46.,Association,0.9112417101860046,Association,0.7004064321517944,NO_RELATION,0.9815801978111268,False,0.8644094467163086,,,Escalate_No_Majority
11388419,Hepatocyte growth factor,neurotrophic,"Hepatocyte growth factor (HGF) exhibits neurotrophic properties on different types of neuron, including motor, sensory and parasympathetic neurons.",Association,0.8830016851425171,Association,0.6683550477027893,NO_RELATION,0.9037894010543824,False,0.8183820446332296,,,Escalate_No_Majority
11389956,Interleukin-18,cytokine,"Interleukin-18 (IL-18) is a cytokine with potent interferon-gamma-inducing activity, and plays an important biologic role in the enhancement of the activity of natural killer cells and cytotoxic T-lymphocytes.",Association,0.7676958441734314,Association,0.83725905418396,NO_RELATION,0.9858397245407104,False,0.8635982076327006,,,Escalate_No_Majority
11390371,Tumor necrosis factor,interleukin (IL)-1beta,"Tumor necrosis factor (TNF)-alpha and interleukin (IL)-1beta are potent activators of the transcription factor NF-kappaB, induced during inflammatory conditions.",Association,0.5676982402801514,Association,0.7480304837226868,NO_RELATION,0.9716662168502808,False,0.7624649802843729,,,Escalate_Single_Model
11390371,Tumor necrosis factor,transcription factor NF-kappaB,"Tumor necrosis factor (TNF)-alpha and interleukin (IL)-1beta are potent activators of the transcription factor NF-kappaB, induced during inflammatory conditions.",Association,0.7590774893760681,Association,0.7595487236976624,NO_RELATION,0.953094720840454,False,0.8239069779713949,,,Escalate_Single_Model
11390392,Interleukin-2,cytokine,Interleukin-2 (IL-2) is a cytokine with important roles in the immune system.,Association,0.881438136100769,Association,0.7769701480865479,NO_RELATION,0.9921084046363832,False,0.8835055629412333,,,Escalate_No_Majority
11391619,Granulocyte colony-stimulating factor,hematopoietic cytokine,"Granulocyte colony-stimulating factor (G-CSF), a hematopoietic cytokine, regulates the proliferation and differentiation of granulocytic progenitor cells and functionally activated mature neutrophils.",Association,0.8908949494361877,Association,0.7007638812065125,NO_RELATION,0.9583848118782043,False,0.8500145475069681,,,Escalate_No_Majority
11400511,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine which provides multiple signals on various tissues and cells.,Association,0.8982317447662354,Association,0.7715088725090027,NO_RELATION,0.98826664686203,False,0.8860024213790894,,,Escalate_No_Majority
11405550,Interleukin-10,cytokine,Interleukin-10 (IL-10) is a cytokine derived from CD4+ T-helper type 2 (T(H2)) cells identified as a suppressor of cytokines from T-helper type 1(T(H1)) cells.,Association,0.8783156871795654,Association,0.8068623542785645,NO_RELATION,0.9405099749565125,False,0.8752293388048807,Association,0.8783156871795654,Accepted_By_Ensemble
