Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,unknown,Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,20338813,"Subsequent screening of pediatric patients with unexplained PAP (i.e., who were negative for GM-CSF autoantibody) for an elevated serum GM-CSF level resulted in identification of 5 additional patients aged 3-11 years of age with PAP caused by various CSF2RA mutations (B.C.T., unpublished results)."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,20338813,"Together, these cases indicate that loss of GM-CSF receptor function causes hereditary PAP, but that additional factors determine the severity of lung disease in PAP."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23246001,The results suggest that the mutations specifically affect the binding site for Ubl4A.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22500027,"In addition, we overexpressed specific BBSome subunits that resulted in the assembly and accumulation of distinct BBSome intermediates."
Fms-related tyrosine kinase 3 ligand,Interleukin-27,unknown,Fms-related tyrosine kinase 3 ligand,Interleukin-27,25211221,"LoxP sites flank exons 7, 8 and 9 of the Arhgap28gt gene."
Interleukin-27,Lymphotoxin-alpha,unknown,Interleukin-27,Lymphotoxin-alpha,25211221,The results showed that heterozygous Arhgap28del mice were viable and fertile.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,27396271,"5D), ruling out the possibility that covalent modification of Cys12 by SML results in extensive conformational remodeling of the switch I and switch II regions."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,25819761,"Indeed, although endogenous DEPDC5, a GATOR1 component, does not show significant lysosomal localization under normal culture conditions, a substantial amount of DEPDC5 accumulated on the lysosomal membrane when Sestrin2 was overexpressed (Fig."
C-C motif chemokine 7,Lymphotoxin-alpha,activates,C-C motif chemokine 7,Lymphotoxin-alpha,25818881,"Although earlier studies had shown that diazepam and other benzodiazepines could modulate circulating steroid levels, the identification of a natural polypeptide des-(Gly-Ile)-endozepine, also known as Diazepam Binding Inhibitor (DBI), that was able to stimulate cholesterol transport into isolated mitochondria, brought together the fields of steroidogenesis and benzodiazepines."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18036997,"Subsequent uracil-glycosylase mediated U removal, and perhaps further processing, leads to four known classes of mutation: Ig class switch recombination that results in a region-specific genomic deletion, Ig somatic hypermutation that introduces point mutations in Ig V-regions, Ig gene conversion in vertebrates that possess Ig pseudo-V genes, and translocations common to B cell lymphomas."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,8116240,Isoprenylation of large hepatitis delta antigen is necessary but not sufficient for hepatitis delta virus assembly.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,25653167,"We demonstrate that yeast Kre33 and human NAT10 are RNA cytosine acetyltransferases with, surprisingly, specificity toward both 18S rRNA and tRNAs."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,25121504,"Although we noted a decrease in rhythmicity for dClk-15A;Clk out flies at 29degreesC, the periods were quite similar over the temperature range tested (Table 2), suggesting that global phosphorylation of dCLK does not play a major role in temperature compensation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,12759363,These results suggest a unique role for DEN1 in regulating the modification of cullins by Nedd8.
C-C motif chemokine 3,C-C motif chemokine 7,unknown,C-C motif chemokine 3,C-C motif chemokine 7,28607491,1 mug of resulting RNAs were then treated with DNase I (NEB) and subjected to reverse transcriptionusing Maxima First Strand cDNA synthesis Kit for quantitative PCR with reverse transcription (Thermo Scientific).
C-C motif chemokine 3,Lymphotoxin-alpha,unknown,C-C motif chemokine 3,Lymphotoxin-alpha,28607491,1 mug of resulting RNAs were then treated with DNase I (NEB) and subjected to reverse transcriptionusing Maxima First Strand cDNA synthesis Kit for quantitative PCR with reverse transcription (Thermo Scientific).
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,28607491,1 mug of resulting RNAs were then treated with DNase I (NEB) and subjected to reverse transcriptionusing Maxima First Strand cDNA synthesis Kit for quantitative PCR with reverse transcription (Thermo Scientific).
C-C motif chemokine 3,C-C motif chemokine 7,unknown,C-C motif chemokine 3,C-C motif chemokine 7,28607491,Quantitative real time PCR was performed with Maxima SYBR Green qPCR Master Mix (Thermo Scientific) in a Bio-Rad CFX96 Real-Time PCR system using OLE1 and ACT1 specific primers.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,24167549,"In cells over-expressing wildtype or mutant Cdc8p, after 4 hours there were ~50% normal septa reflecting the residual ts phenotype (multiple, poorly organized septa and abnormal morphologies)."
C-X-C motif chemokine 9,Interleukin-27,unknown,C-X-C motif chemokine 9,Interleukin-27,27350684,"Subsequently, genetic interaction of Rna14 with prp1 and physical interactions with Prp28 suggest that the Rna14 might be part of a larger protein complex responsible for the pre-mRNA maturation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21827752,Our results suggest a role for SPATA4 in membrane traffic and a specialized function for TRAPP in spermatocytes.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22020280,"Analysis of Mili-bound piRNAs from homozygous Mili(DAH) fetal gonadocytes revealed a failure of transposon piRNA amplification, resulting in the marked reduction of piRNA bound within Miwi2 ribonuclear particles."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,binds,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,17662961,"RESULTS: Fluvoxamine bound to sigma-1 receptors in all brain regions in a dose-dependent manner, whereas paroxetine did not bind to sigma-1 receptors."
C-C motif chemokine 7,Interleukin-17F,unknown,C-C motif chemokine 7,Interleukin-17F,14752096,AML1 is functionally regulated through p300-mediated acetylation on specific lysine residues.
C-C motif chemokine 7,Interleukin-17F,unknown,C-C motif chemokine 7,Interleukin-17F,14752096,"Here, we report that AML1 is specifically acetylated by p300 in vitro."
C-C motif chemokine 7,Interleukin-17F,unknown,C-C motif chemokine 7,Interleukin-17F,14752096,"AML1 is subject to acetylation at the same sites in vivo, and p300-mediated acetylation significantly augments the DNA binding activity of AML1."
C-C motif chemokine 7,Interleukin-17F,unknown,C-C motif chemokine 7,Interleukin-17F,14752096,"Taken together, these data indicate that acetylation of AML1 through p300 is a critical manner of posttranslational modification and identify a novel mechanism for regulating the function of AML1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20005846,"LUBAC enhances NEMO interaction with the TNF-RSC, stabilizes this protein complex, and is required for efficient TNF-induced activation of NF-kappaB and JNK, resulting in apoptosis inhibition."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19706605,"GSK-3-specific chemical inhibitors, Wnt-3a conditioned media, small interfering RNAs, and GSK-3alpha and -3beta kinase dead constructs, consistently showed that the levels of endogenous delta-catenin in CWR22Rv-1 prostate carcinoma cells and primary cortical neurons were increased by inhibiting GSK-3 activity."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19706605,"Treatment with MG132 or ALLN, specific inhibitors of proteosome-dependent proteolysis, increased delta-catenin levels and caused an accumulation of ubiquitinated delta-catenin."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,2961257,"Although anti-porcine antiserum detected specific bands in all liver and muscle samples from patients with other types of glycogen storage disease (Types I, II, and IX), the antiserum detected no cross-reactive material in any of the liver or muscle samples from patients with Type III glycogen storage disease."
C-C motif chemokine 7,Granulocyte colony-stimulating factor,unknown,C-C motif chemokine 7,Granulocyte colony-stimulating factor,19453968,Site-specific ubiquitination determines lysosomal sorting and signal attenuation of the granulocyte colony-stimulating factor receptor.
C-C motif chemokine 7,Granulocyte colony-stimulating factor,unknown,C-C motif chemokine 7,Granulocyte colony-stimulating factor,19453968,"The suppressor of cytokine signaling protein SOCS3 drives lysosomal degradation of the granulocyte colony-stimulating factor receptor (G-CSFR), depending on SOCS3-mediated ubiquitination of a specific lysine located in a conserved juxtamembrane motif."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21081508,This method takes advantage of specific phosphatases that can be added into glycosyltransferase reactions to quantitatively release inorganic phosphate from the leaving groups of glycosyltransferase reactions.
C-C motif chemokine 19,C-C motif chemokine 7,unknown,C-C motif chemokine 19,C-C motif chemokine 7,21081508,"As examples, we first assayed Clostridium difficile toxin B, a protein O-glucosyltransferase that specifically monoglucosylates and inactivates Rho family small GTPases; we then showed that human KTELC1, a homolog of Rumi from Drosophila, was able to hydrolyze UDP-Glc; and finally, we measured the kinetic parameters of human sialyltransferase ST6GAL1."
C-C motif chemokine 19,Lymphotoxin-alpha,unknown,C-C motif chemokine 19,Lymphotoxin-alpha,21081508,"As examples, we first assayed Clostridium difficile toxin B, a protein O-glucosyltransferase that specifically monoglucosylates and inactivates Rho family small GTPases; we then showed that human KTELC1, a homolog of Rumi from Drosophila, was able to hydrolyze UDP-Glc; and finally, we measured the kinetic parameters of human sialyltransferase ST6GAL1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21081508,"As examples, we first assayed Clostridium difficile toxin B, a protein O-glucosyltransferase that specifically monoglucosylates and inactivates Rho family small GTPases; we then showed that human KTELC1, a homolog of Rumi from Drosophila, was able to hydrolyze UDP-Glc; and finally, we measured the kinetic parameters of human sialyltransferase ST6GAL1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,12052829,"TPA-induced ShcA phosphorylation at this site (and hence, its association with PTP-PEST) was inhibited by a protein kinase C-specific inhibitor and was induced by overexpression of constitutively active mutants of protein kinase Calpha, -epsilon, and -delta isoforms."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18682561,"Together with results from site-directed mutagenesis and activity measurements, we can thereby demonstrate the role of specific amino acid residues."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18682561,"Hence, insight into the dynamic behavior of MPGES1 and homologous membrane proteins in inflammation and detoxification is provided."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,30802237,"Importantly, ChEC and ChIP experiments indicated that expression of FLAGCTR in trans could fully restore Pol I association with the 35S rDNA in net1Deltactr cells to wild-type levels, in good correlation with the re-establishment of normal cell growth in these strains (Fig 5A, compare lanes 9-12, and 25-28 with lanes 13-16, and 29-32, respectively; Fig 5B, ChIP of fragments 2-4; S3 Table, doubling times)."
Fms-related tyrosine kinase 3 ligand,Macrophage metalloelastase,unknown,Fms-related tyrosine kinase 3 ligand,Macrophage metalloelastase,30802237,"Importantly, ChEC and ChIP experiments indicated that expression of FLAGCTR in trans could fully restore Pol I association with the 35S rDNA in net1Deltactr cells to wild-type levels, in good correlation with the re-establishment of normal cell growth in these strains (Fig 5A, compare lanes 9-12, and 25-28 with lanes 13-16, and 29-32, respectively; Fig 5B, ChIP of fragments 2-4; S3 Table, doubling times)."
Lymphotoxin-alpha,Macrophage metalloelastase,unknown,Lymphotoxin-alpha,Macrophage metalloelastase,30802237,"Importantly, ChEC and ChIP experiments indicated that expression of FLAGCTR in trans could fully restore Pol I association with the 35S rDNA in net1Deltactr cells to wild-type levels, in good correlation with the re-establishment of normal cell growth in these strains (Fig 5A, compare lanes 9-12, and 25-28 with lanes 13-16, and 29-32, respectively; Fig 5B, ChIP of fragments 2-4; S3 Table, doubling times)."
Interleukin-6,Lymphotoxin-alpha,unknown,Interleukin-6,Lymphotoxin-alpha,19229036,These results provide a mechanistic basis for the requirement of HSF1 in the regulation of life span and establish a role for SIRT1 in protein homeostasis and the HSR.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15123625,These results suggest that the PPARgamma-dependent transactivation pathway seems to be modulated by SUMO-1 modification and may serve as a novel target for apoptosis-induction therapy in cancer cells.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11524432,The identification of the gene encoding protein O-fucosyltransferase I now makes possible mutational strategies to examine the functions of the unusual O-fucose post-translational modification.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22532808,All dysc alleles were recessive; trans-heterozygotic combinations of the three alleles were largely arrhythmic; and heterozygosity for both dysc s168 and dysc c03838 in combination with a deficiency removing the dysc locus also resulted in arrhythmia (Table 1).
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,25690888,"These findings delineate how two Rad5 enzymatic domains concertedly influence PCNA modification, and unveil their discrete contributions to stress tolerance."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,15001581,Overexpression of human ABCG2 in model cancer cell lines causes multidrug resistance by actively effluxing anticancer drugs.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,15001581,"In this study, we characterized the oligomeric feature of human ABCG2 using non-denaturing detergent perfluoro-octanoic acid and Triton X-100 in combination with gel filtration, sucrose density gradient sedimentation, and gel electrophoresis."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,binds,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,11713274,"Our results suggest a bivalent interaction model, where a single NRIF3 molecule utilizes both the C-terminal LXXIL (receptor-interacting domain 1 [RID1]) and the N-terminal LXXLL (RID2) modules to cooperatively interact with TR or RXR (presumably a receptor dimer), with the spacing between RID1 and RID2 playing an important role in influencing the affinity of the interactions."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16924681,"High integrin beta1 expression was observed in wt-7721 compared with mock cells (7721 cell transfected with the vector pcDNA3), while transfection of delta cGnT-V decreased the integrin beta1 expression, despite of no significant changes on integrin beta1 mRNA level in these cell lines."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,16924681,More effective in promoting cell migration toward fibronectin and invasion through Matrigel was observed in wt-7721 while this was almost suppressed in delta c-7721.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19684574,This result suggests that Ago1 localization correlates with trafficking endosomes.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,10949293,Regulation of chromatin structure by site-specific histone H3 methyltransferases.
C-C motif chemokine 7,Macrophage metalloelastase,unknown,C-C motif chemokine 7,Macrophage metalloelastase,10949293,Higher-order chromatin has been proposed to be nucleated by the covalent modification of histone tails and the subsequent establishment of chromosomal subdomains by non-histone modifier factors.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,10949293,Here we show that human SUV39H1 and murine Suv39h1--mammalian homologues of Drosophila Su(var)3-9 and of Schizosaccharomyces pombe clr4--encode histone H3-specific methyltransferases that selectively methylate lysine 9 of the amino terminus of histone H3 in vitro.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,10949293,"Methylation of lysine 9 interferes with phosphorylation of serine 10, but is also influenced by pre-existing modifications in the amino terminus of H3."
C-C motif chemokine 7,Lymphotoxin-alpha,regulates,C-C motif chemokine 7,Lymphotoxin-alpha,20368621,"Here, we show that MeCP2, a DNA methyl-CpG-binding protein, can epigenetically regulate specific miRNAs in adult neural stem cells (aNSCs)."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,regulates,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,22072986,A novel protein LZTFL1 regulates ciliary trafficking of the BBSome and Smoothened.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,binds,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,22072986,"Here, we show that a novel protein, Leucine-zipper transcription factor-like 1 (LZTFL1), interacts with a BBS protein complex known as the BBSome and regulates ciliary trafficking of this complex."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,22072986,We also show that all BBSome subunits and BBS3 (also known as ARL6) are required for BBSome ciliary entry and that reduction of LZTFL1 restores BBSome trafficking to cilia in BBS3 and BBS5 depleted cells.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,regulates,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,22072986,"Finally, we found that BBS proteins and LZTFL1 regulate ciliary trafficking of hedgehog signal transducer, Smoothened."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,22072986,Our findings suggest that LZTFL1 is an important regulator of BBSome ciliary trafficking and hedgehog signaling.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17166836,"The mouse NIPA1 mutants, T39R and G100R, corresponding to the respective human mutants showed a loss-of-function when expressed in oocytes and altered trafficking in transfected COS7 cells."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,9150262,"UV sensitivity was not altered by disruption of the S-II gene in a RAD+ (NER proficient) strain, or in rad26 (impaired in efficient transcription-coupled repair), rad7 (lacking global genome repair), or rad7 rad26 (lacking global genome repair, but having residual transcription-coupled repair capacity) mutants."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,9150262,"Moreover, S-II did not influence the repair rate on the transcribed strand of the RPB2 gene, either in repair-proficient or in rad7 rad26 backgrounds."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21266407,"Here, we report the identification of larval translucida (ltl), a novel target of BMP activity in Drosophila."
C-X-C motif chemokine 10,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 10,Lymphotoxin-alpha,11520069,"This activity is unique to BAG-1M in that other isoforms, BAG-1S and BAG-1L, are much weaker in this activity, although all of the isoforms share common ubiquitin-like domain and BAG domain interacting with Hsp70/Hsc70."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,15865448,"Together, the tissue distribution of RDH12 and its catalytic properties suggest that, in most tissues, RDH12 primarily contributes to the reduction of all-trans-retinaldehyde; however, at saturating concentrations of peroxidic aldehydes in the cells undergoing oxidative stress, for example, photoreceptors, RDH12 might also play a role in detoxification of lipid peroxidation products."
Interleukin-2,Lymphotoxin-alpha,unknown,Interleukin-2,Lymphotoxin-alpha,2981876,"The T-cell growth factor (TCGF) receptor on phytohemagglutinin-activated normal peripheral blood T-cells is characterized as a glycoprotein with an apparent Mr = 55,000 that contains N-linked and O-linked carbohydrate with only approximately 33,000 daltons of peptide structure (p33) as evaluated by sodium dodecyl sulfate-polyacrylamide gel electrophoresis."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23685356,"Likewise, we could not retrieve HOT1 after a POT1-IP, which is in agreement with several other studies that searched for shelterin-associated factors either by immunoprecipitation or by bimolecular fluorescence complementation."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18832723,Efficient clearance of apoptotic cells (AC) by professional phagocytes is crucial for tissue homeostasis and resolution of inflammation.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18832723,"In macrophages overexpressing a dominant negative mutant of PPARgamma, NF-kappaB transactivation in response to LPS was restored, while macrophages from myeloid lineage-specific conditional PPARgamma knockout mice proved that PPARgamma transmitted an antiinflammatory response, which was delivered by AC."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21164013,This converts Ensa into a potent and specific inhibitor of PP2A-B55delta.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,8407894,These results suggest that C34 and TFIIIB70 are specificity determinants of the RNA polymerase III-TFIIIB interaction.
Fms-related tyrosine kinase 3 ligand,Interleukin-1 beta,unknown,Fms-related tyrosine kinase 3 ligand,Interleukin-1 beta,1373520,Interleukin-1 beta (IL-1 beta) mediates a wide range of immune and inflammatory responses.
Interleukin-27,Lymphotoxin-alpha,unknown,Interleukin-27,Lymphotoxin-alpha,12036871,"Only 3 mutants (Glu270Gln, Asp283Asn, Asp283Asn/Glu285Gln/Asp287Asn) resulted in the abolition of sulfation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24977345,This result suggests that Mnb promotes efficient synaptic vesicle recycling during conditions of high activity.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,9195882,"NMR spectroscopy shows that the N-terminal arm is necessary for binding rac, although it remains largely flexible even in the complex."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,17947579,Histone tails are known to be mono- and dimethylated on multiple arginine residues where they influence chromatin remodeling and gene expression.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,29283431,"AtRAD4 overexpression, both with and without an N-terminal yellow fluorescent protein (YFP) tag, resulted in increased UV tolerance."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20406818,"Although ubiquitination has emerged as a major factor involved in RIG-I activation, the potential contribution of other post-translational modifications, such as phosphorylation, to the regulation of RIG-I activity has not been addressed."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,14631847,"However, it remains to be resolved whether p160 family coactivators simultaneously recruit CARM1 and PRMT1 to specific target genes, and the order of the series of modifications on individual histone tails in vivo."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,8798525,Purification of a protein palmitoyltransferase that acts on H-Ras protein and on a C-terminal N-Ras peptide.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15247232,"Thus in different cell types, isoform-specific patterns of PHD induction by hypoxia and estrogen alter both the relative abundance of the PHDs and their relative contribution to the regulation of HIF."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15247232,"In addition, the PHDs manifest specificity for different prolyl hydroxylation sites within each HIF-alpha subunit, and a degree of selectively between HIF-1alpha and HIF-2alpha isoforms, indicating that differential PHD inhibition has the potential to selectively alter the characteristics of HIF activation."
Fms-related tyrosine kinase 3 ligand,Interleukin-2,activates,Fms-related tyrosine kinase 3 ligand,Interleukin-2,21098725,"IL-22 has a pathogenetic role in psoriasis, where it is responsible for the altered proliferation and differentiation of keratinocytes and induces inflammatory molecules."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,activates,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21098725,"IL-22 has a pathogenetic role in psoriasis, where it is responsible for the altered proliferation and differentiation of keratinocytes and induces inflammatory molecules."
Interleukin-2,Lymphotoxin-alpha,activates,Interleukin-2,Lymphotoxin-alpha,21098725,"IL-22 has a pathogenetic role in psoriasis, where it is responsible for the altered proliferation and differentiation of keratinocytes and induces inflammatory molecules."
C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,unknown,C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,21098725,"By controlling STAT3, SIRT1 also influences the IL-22-induced expression of molecules involved in proliferation and inflammation as well as proliferation and migration processes in cultured keratinocytes."
C-X-C motif chemokine 9,Interleukin-2,unknown,C-X-C motif chemokine 9,Interleukin-2,21098725,"By controlling STAT3, SIRT1 also influences the IL-22-induced expression of molecules involved in proliferation and inflammation as well as proliferation and migration processes in cultured keratinocytes."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,21098725,"By controlling STAT3, SIRT1 also influences the IL-22-induced expression of molecules involved in proliferation and inflammation as well as proliferation and migration processes in cultured keratinocytes."
Fms-related tyrosine kinase 3 ligand,Interleukin-2,unknown,Fms-related tyrosine kinase 3 ligand,Interleukin-2,21098725,"By controlling STAT3, SIRT1 also influences the IL-22-induced expression of molecules involved in proliferation and inflammation as well as proliferation and migration processes in cultured keratinocytes."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21098725,"By controlling STAT3, SIRT1 also influences the IL-22-induced expression of molecules involved in proliferation and inflammation as well as proliferation and migration processes in cultured keratinocytes."
Interleukin-2,Lymphotoxin-alpha,unknown,Interleukin-2,Lymphotoxin-alpha,21098725,"By controlling STAT3, SIRT1 also influences the IL-22-induced expression of molecules involved in proliferation and inflammation as well as proliferation and migration processes in cultured keratinocytes."
C-C motif chemokine 7,Macrophage metalloelastase,unknown,C-C motif chemokine 7,Macrophage metalloelastase,15449939,"To elucidate the role of IFNAR1 in IFN binding and the establishment of biological activity, specific residues of IFNAR1 were mutated."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16282325,"Altogether, these findings demonstrate the modularity and diversification of BIR domains, showing that a single cIAP can direct its E3 ligase activity toward different substrates and can alter the cellular functions of different protein targets in accordance with differences in the specificity of individual BIR domains."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11341840,"The catalytic efficiency (k(cat)/K(m)) of CARM1 toward H3 was at least 1000 times that toward R1 (GGFGGRGGFGG-amide), a highly effective substrate for protein arginine methyltransferase 1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,14742442,"Taken together, these results demonstrate that the induction of SOCS-3 by IFNgamma depends upon the presence of a STAT-binding element in the SOCS-3 promoter that is specifically activated by STAT1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18094119,Alteration of the UGUA site in the tif1 3' UTR to more closely resemble the Puf3p binding site broadens the specificity to include regulation by Puf3p.
